"# All of the Stars, opening 8 bars (0 to 25.6 s at 75 bpm), Sankyo 30 tooth scale"
"# assumed: rotation 28.0 s, cylinder dia 13.0 mm, tooth pitch 1.5 mm, pin dia 0.5 mm, min same-tooth spacing 0.8 mm (0.55 s). Measure your movement and regenerate in Comb Compare."
"# 89 pins. 29 repeated notes thinned for spacing, 7 bass notes dropped (listed at end)."
pin,time_s,tooth_from_bass,tooth_note,folded_from,angle_deg,axial_mm,arc_from_prev_same_tooth_mm
87,24.8,4,D4,,318.86,4.5,1.17
88,24.8,7,G4,,318.86,9.0,1.17
89,24.8,10,B4,,318.86,13.5,19.84
"# thinned (time_s, note, spacing_mm)"
0.4,F4,0.29
0.4,F5,0.29
0.8,A4,0.29
0.8,A5,0.29
3.2,C5,0.58
3.2,C4,0.58
7.8,E4,0.58
7.8,E5,0.58
8.0,G4,0.58
8.0,G5,0.58
8.2,E5,0.29
8.8,G4,0.29
9.5,E4,0.15
9.6,E4,0.29
9.6,E5,0.29
10.0,D4,0.29
10.0,G4,0.58
10.0,B4,0.58
10.0,D5,0.29
11.6,B4,0.58
13.4,A4,0.29
13.6,A4,0.58
16.0,C4,0.58
20.6,E4,0.58
20.8,G4,0.58
22.4,E4,0.58
22.8,D4,0.29
22.8,G3,0.58
22.8,C4,0.58
"# dropped (time_s, note, reason)"
0.0,A2,"bass, would land above C4"
1.6,E2,"bass, would land above C4"
4.0,B1,"bass, would land above C4"
4.8,A1,"bass, would land above C4"
6.4,E2,"bass, would land above C4"
9.6,B1,"bass, would land above C4"
16.0,A2,"bass, would land above C4"
